Forecast Date,Quarter being forecasted,PCE,PCE Goods,PCE Services,GPDI,Fixed Investment,Business Fixed Investment,Equipment,Intellectual Property Products,Structures,Residential,Government,Federal Govt,S&L,Imports,Goods imports,Services imports,Exports,Goods exports,Services exports,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",Change in net exports ($Bil 2009),Previous change in private inventories ($Bil 2009),Current change in private inventories ($Bil 2009),Change in inventory investment ($Bil 2009),GDP Nowcast,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Advance Estimate From BEA,Publication Date of Advance Estimate,Days until advance estimate,Forecast Error,Data releases
2024-01-04,2023-12-31,2.837318810982592,3.368850998336481,2.5728439380560353,0.28982620276161164,3.59649547418861,4.139907469014137,3.3745618577896153,5.523339986589471,2.9657329683068667,1.7453600073577213,4.024486241771386,4.240730703521756,3.8958069131115103,3.8945949144081338,2.368607998845018,10.844235675639657,2.7533349478105817,0.9198310363980777,6.514799496788859,-946.5576178023997,-930.673,-15.884617802399703,77.764,47.354476940431624,-30.40952305956837,2.4327041164631913,3.021220818278314,3.166718467479135,2.9922426998059137,3.3,2024-01-25,21,0.8672958835368085,Auto sales
2024-01-05,2023-12-31,2.398036269402981,2.484907178921225,2.3547069869862547,-0.3200062249039459,2.7143455333987987,3.5054916791405377,2.361666483458613,5.378931640421136,2.0997364911168104,0.03024971616283345,3.9175198202163086,4.387734629697726,3.638120094471442,2.66916039307854,1.0730597922715246,9.950919597945207,1.3181674942819743,-0.9247990993214494,5.942334117469716,-945.1327171482789,-930.673,-14.459717148278855,77.764,49.59069855786155,-28.173301442138445,2.0175272265059663,2.5601678829209495,2.7082587035565764,2.4626678113924605,3.3,2024-01-25,20,1.2824727734940335,"Employment situation, ISM Nonmanuf Index, M3-2 Manufacturing"
2024-01-09,2023-12-31,2.5559844836684498,2.485027179570687,2.591407067378859,-0.5608788314758417,2.462873324371362,3.1514797161594776,1.4178479685560408,5.378931640421136,2.0978597331779536,0.12285935956002358,3.917489606686586,4.387905544796622,3.637970693977799,1.8142868486757724,0.948921770990041,5.705724493206121,1.6483351900518084,-0.28125485904505476,5.612083879718632,-935.888666510669,-930.673,-5.2156665106690525,77.764,49.59069855786155,-28.173301442138445,2.234165027463475,2.7784595628758124,2.7700383686190655,2.5369370928885138,3.3,2024-01-25,16,1.0658349725365248,International trade
2024-01-10,2023-12-31,2.556135031901663,2.4854924677401025,2.591400433451274,-0.7037474516831566,2.4635250351318083,3.151964225967019,1.4190035360317044,5.378931640421136,2.0980805470414587,0.12407276183574734,3.917482704204156,4.3878507919871135,3.637992147233593,1.814944917646466,0.9496932766308808,5.705863159005764,1.6486123111390638,-0.2808871611705288,5.612170662534521,-935.8925214939098,-930.673,-5.219521493909838,77.764,48.2150692647044,-29.5489307352956,2.208291260415285,2.778614163870996,2.770247752162769,2.5371901923286755,3.3,2024-01-25,15,1.091708739584715,Wholesale trade
2024-01-11,2023-12-31,2.555135959081367,2.4838183570131456,2.590738477543497,-0.7350432281841068,2.4628128922210335,3.151573837672861,1.419044878338327,5.378931640421136,2.0963110556777798,0.12227958886661394,3.950766646675352,4.477558007724336,3.6378506545777345,1.8126897593255364,0.9473870374196114,5.703843189056634,1.6448507719522443,-0.2857845449978247,5.610796264077722,-935.8966519728564,-930.673,-5.2236519728563735,77.764,47.921382587420716,-29.84261741257928,2.207542215680669,2.783458918369308,2.775061478881846,2.5362498334326133,3.3,2024-01-25,14,1.0924577843193308,"Consumer Price Index, Monthly Treasury Statement"
2024-01-12,2023-12-31,2.554998263202779,2.483703286024208,2.5905894826778075,-0.5883166939849138,2.4514316769005617,3.137493845940731,1.4215567160866582,5.378931640421136,2.0308337736299586,0.1199704823467318,3.944926885136657,4.477292152296175,3.6287101341559325,1.8150131593693164,0.9500819941150374,5.7044652094236925,1.6459793404344225,-0.28431882692085964,5.611216246871931,-935.9093364319126,-930.673,-5.236336431912605,77.764,49.43278678944132,-28.331213210558673,2.2328713222959706,2.7801668059591167,2.772051157536559,2.5338113345463986,3.3,2024-01-25,13,1.0671286777040292,Producer Price Index
2024-01-17,2023-12-31,2.846200409419719,3.648482565632083,2.4475955458580057,-0.5465127444427398,2.442935172107985,3.111017861011378,1.3580805790660344,5.378931640421136,2.019313101960285,0.17191600025561193,3.941096789907128,4.477406338552492,3.6225444380342697,1.9477260533036,1.118022401028318,5.676049020475937,1.595816222866353,-0.34926280719039804,5.592124276018073,-937.3403059683591,-930.673,-6.667305968359074,77.764,49.91134377217469,-27.852656227825307,2.412475661204283,2.952010618263623,2.9625635970340847,2.7636294836635544,3.3,2024-01-25,8,0.8875243387957168,"Retail trade, Industrial production, Import/Export Prices"
2024-01-18,2023-12-31,2.8462610357126827,3.648463527677226,2.4476955789035415,-0.6659578994738458,2.3182677712830113,3.1099102342573293,1.3553006212914331,5.378931640421136,2.0190353561935437,-0.3673579327660992,3.941082339695501,4.4774076591979295,3.6225206493372353,1.9456546940051167,1.1155749374916368,5.675697074217956,1.595132156535306,-0.35016096670277275,5.591890308301761,-937.3270298628183,-930.673,-6.654029862818334,77.764,49.91134377217469,-27.852656227825307,2.3910344232867864,2.9304065544227376,2.941339206894167,2.738112095558587,3.3,2024-01-25,7,0.9089655767132134,Housing starts
2024-01-19,2023-12-31,2.846164579374566,3.6484058180566104,2.4475799572238,-0.707568978066142,2.2748377706259593,3.1094517156700086,1.3544536534855656,5.378931640421136,2.018423155454263,-0.5545839041470213,3.941053859308985,4.477410939599191,3.622473362257783,1.9447169678179055,1.1145573385267449,5.675124804192655,1.5940416402615565,-0.35158993220677504,5.591511343292033,-937.3258369455752,-930.673,-6.652836945575245,77.764,49.91134377217469,-27.852656227825307,2.3834137458038196,2.922728006992159,2.933859870976052,2.7291248609265573,3.3,2024-01-25,6,0.9165862541961802,Existing-home sales
2024-01-26,2024-03-31,3.582018113766794,4.657409551984459,3.0540919833109914,-0.3480361684572997,1.2898543661814976,1.5018691683457153,0.08084706285844678,5.26565217795012,-2.6477659746248383,0.5691000938049084,2.4318571534507116,2.865188248202921,2.1731248584130336,-0.30088051553703865,0.30838591520789826,-2.9300776237622173,2.0738573516396963,2.7252058933487477,0.8029927697006167,-892.5555350634824,-908.194,15.638464936517607,76.17087082459219,60.60024774319036,-15.570623081401827,3.0461863734394523,3.3500463941018355,2.9943512021450847,3.1096507466029877,1.58969,2024-04-25,90,-1.4564963734394523,Initial nowcast
